,density,DH_mix,DS_mix,T_m,delta,D_elneg,VEC,lattice
134,6.07,-10.86,13.15,2104.16,5.76,0.11,4.33,multi-phase
135,5.5,-21.55,13.25,1891.31,5.32,0.11,4.09,multi-phase
136,5.76,-17.44,13.38,1987.09,5.53,0.11,4.2,multi-phase
137,4.87,-14.88,13.38,1796.89,10.35,0.16,3.8,multi-phase
138,8.04,4.16,13.38,1727.15,0.92,0.14,8.2,multi-phase
139,8.26,0.494,13.15,1814.64,1.06,0.09,8.56,multi-phase
140,8.33,3.2,13.38,1768.95,1.07,0.09,8.8,multi-phase
141,9.85,-19.52,13.38,1998.6,9.62,0.23,7.4,multi-phase
142,7.89,-4.04,12.95,1776.3,0.87,0.15,7.8,multi-phase
143,8.37,-4.15,12.83,1943.21,2.92,0.13,8.09,multi-phase
144,8.71,-4.64,13.38,2076.6,4.36,0.16,7.8,multi-phase
145,8.29,-14.88,13.38,2047.4,6.43,0.12,7.6,multi-phase
146,10.57,-14.4,13.38,2155.4,6.43,0.15,7.6,multi-phase
147,7.8,-10.74,12.86,1855.55,4.6,0.12,8.09,multi-phase
148,7.41,-15.61,13.21,1862.67,5.83,0.14,7.75,multi-phase
149,7.79,-8.89,12.83,1876.58,4.06,0.12,7.95,multi-phase
150,7.58,-11.56,13.15,1879.44,4.93,0.13,7.78,multi-phase
151,7.15,-16.32,13.38,1885.6,6.13,0.14,7.4,multi-phase
152,7.69,-8.96,13.38,1934.0,2.88,0.12,7.6,multi-phase
153,11.02,-2.88,13.38,2236.4,4.65,0.23,7.8,multi-phase
154,6.62,-9.28,13.38,1857.2,15.72,0.26,7.2,multi-phase
155,7.61,-22.72,13.38,1923.0,10.19,0.21,7.4,multi-phase
156,7.61,-9.12,13.38,1875.6,2.94,0.14,7.4,multi-phase
157,8.05,-2.24,13.38,1769.55,2.88,0.1,8.6,multi-phase
158,8.5,-23.52,13.38,1940.15,10.21,0.26,6.4,multi-phase
159,7.55,-9.12,13.38,1425.78,4.77,0.13,7.4,multi-phase
160,8.77,-4.0,13.38,1944.4,4.47,0.2,8.0,multi-phase
161,7.91,-2.56,13.38,1466.22,8.91,0.14,7.6,multi-phase
162,7.76,-8.96,13.38,1801.8,2.96,0.14,7.8,multi-phase
163,8.04,2.72,13.38,1719.15,0.92,0.14,8.4,multi-phase
164,8.07,-0.49,12.89,1691.82,0.93,0.16,8.43,multi-phase
165,8.23,3.88,12.97,1686.57,0.95,0.13,8.88,multi-phase
166,8.06,4.69,12.97,1660.44,0.83,0.15,8.5,multi-phase
167,7.89,2.61,12.89,1798.11,0.84,0.13,8.0,multi-phase
168,7.94,0.0988,13.15,1759.31,0.91,0.14,8.11,multi-phase
169,8.06,2.37,13.15,1708.95,0.97,0.15,8.44,multi-phase
170,8.11,3.56,13.15,1741.39,0.94,0.13,8.56,multi-phase
171,8.71,4.64,13.38,1994.55,4.1,0.16,8.2,multi-phase
172,7.63,-14.4,13.38,1840.95,9.91,0.22,7.8,multi-phase
173,6.92,-13.28,13.38,1835.8,6.03,0.15,7.0,multi-phase
174,6.56,-4.64,13.38,2236.4,7.67,0.12,4.8,multi-phase
175,8.36,-15.84,13.38,1948.75,9.84,0.25,6.2,multi-phase
176,9.56,-6.44,14.9,1550.76,6.14,0.3,8.33,multi-phase
177,7.9,-0.71,14.32,1747.74,3.0,0.1,8.4,multi-phase
178,7.88,0.157,14.43,1721.66,3.15,0.1,8.47,multi-phase
179,7.49,-4.6,14.53,1726.52,4.0,0.11,8.0,multi-phase
180,7.62,-1.52,14.7,1693.0,3.82,0.11,8.27,multi-phase
181,7.1,-8.47,14.32,1705.31,4.71,0.12,7.6,multi-phase
182,7.27,-3.61,14.87,1653.71,4.5,0.12,8.0,multi-phase
183,6.79,-6.24,14.85,1596.55,5.19,0.12,7.6,multi-phase
184,6.63,-7.05,14.79,1576.15,5.38,0.13,7.46,multi-phase
185,6.41,-8.08,14.64,1547.8,5.6,0.13,7.26,multi-phase
186,6.92,-4.5,14.7,1617.13,4.91,0.12,7.73,multi-phase
187,7.06,-5.02,14.7,1579.68,5.02,0.12,8.0,multi-phase
188,6.82,-9.94,14.34,1668.55,5.13,0.12,7.38,multi-phase
189,6.91,-7.93,14.7,1654.43,5.02,0.12,7.55,multi-phase
190,7.0,-5.55,14.7,1613.23,5.0,0.12,7.82,multi-phase
191,6.92,-3.9,14.7,1620.77,4.91,0.12,7.64,multi-phase
192,7.07,-4.78,14.9,1629.71,4.82,0.12,7.83,multi-phase
193,6.09,-9.38,14.35,1505.72,5.84,0.13,6.97,multi-phase
194,5.97,-9.78,14.21,1490.46,5.91,0.13,6.87,multi-phase
195,5.82,-10.28,14.01,1469.04,5.99,0.13,6.72,multi-phase
196,6.27,-8.65,14.53,1530.24,5.71,0.13,7.14,multi-phase
197,5.72,-10.56,13.86,1455.65,6.04,0.13,6.62,multi-phase
